ID,色,上の句（読み上げ）,下の句（読み上げ）,下の句１（最初の5文字）,下の句２（中間の5文字）,下の句３（最後の5〜7文字）
1,mistyrose,あきのたの  かりほのいほの  とまをあらみ,わがころもでは  つゆにぬれつつ,わがころも,ではつゆに,ぬれつつ
2,lightyellow,はるすぎて  なつきにけらし  しろたへの,ころもほすてふ  あまのかぐやま,ころもほす,てふあまの,かぐやま
3,lightcyan,あしびきの  やまどりのをの  しだりをの,ながながしよを  ひとりかもねむ,ながながし,よをひとり,かもねむ
4,mistyrose,たごのうらに  うちいでてみれば  しろたへの,ふじのたかねに  ゆきはふりつつ,ふじのたか,ねにゆきは,ふりつつ
5,lightcyan,おくやまに  もみぢふみわけ  なくしかの,こゑきくときぞ  あきはかなしき,こゑきくと,きぞあきは,かなしき
6,lightcyan,かささぎの  わたせるはしに  おくしもの,しろきをみれば  よぞふけにける,しろきをみ,ればよぞふ,けにける
7,lightyellow,あまのはら  ふりさけみれば  かすがなる,みかさのやまに  いでしつきかも,みかさのや,まにいでし,つきかも
8,honeydew,わがいほは  みやこのたつみ  しかぞすむ,よをうぢやまと  ひとはいふなり,よをうぢや,まとひとは,いふなり
9,honeydew,はなのいろは  うつりにけりな  いたづらに,わがみよにふる  ながめせしまに,わがみよに,ふるながめ,せしまに
10,lightyellow,これやこの  ゆくもかへるも  わかれては,しるもしらぬも  あふさかのせき,しるもしら,ぬもあふさ,かのせき
11,honeydew,わたのはら  やそしまかけて  こぎいでぬと,ひとにはつげよ  あまのつりぶね,ひとにはつ,げよあまの,つりぶね
12,lightcyan,あまつかぜ  くものかよひぢ  ふきとぢよ,をとめのすがた  しばしとどめむ,をとめのす,がたしばし,とどめむ
13,mistyrose,つくばねの  みねよりおつる  みなのがは,こひぞつもりて  ふちとなりぬる,こひぞつも,りてふちと,なりぬる
14,lightcyan,みちのくの  しのぶもぢずり  たれゆゑに,みだれそめにし  われならなくに,みだれそめ,にしわれな,らなくに
15,honeydew,きみがため  はるののにいでて  わかなつむ,わがころもでに  ゆきはふりつつ,わがころも,でにゆきは,ふりつつ
16,mistyrose,たちわかれ  いなばのやまの  みねにおふる,まつとしきかば  いまかへりこむ,まつとしき,かばいまか,へりこむ
17,honeydew,ちはやぶる  かみよもきかず  たつたがは,からくれなゐに  みづくくるとは,からくれな,ゐにみづく,くるとは
18,lightyellow,すみのえの  きしによるなみ  よるさへや,ゆめのかよひぢ  ひとめよくらむ,ゆめのかよ,ひぢひとめ,よくらむ
19,moccasin,なにはがた  みじかきあしの  ふしのまも,あはでこのよを  すぐしてよとや,あはでこの,よをすぐし,てよとや
20,honeydew,わびぬれば  いまはたおなじ  なにはなる,みをつくしても  あはむとぞおもふ,みをつくし,てもあはむ,とぞおもふ
21,moccasin,いまこむと  いひしばかりに  ながつきの,ありあけのつきを  まちいでつるかな,ありあけの,つきをまち,いでつるかな
22,mistyrose,ふくからに  あきのくさきの  しをるれば,むべやまかぜを  あらしといふらむ,むべやまか,ぜをあらし,といふらむ
23,honeydew,つきみれば  ちぢにものこそ  かなしけれ,わがみひとつの  あきにはあらねど,わがみひと,つのあきに,はあらねど
24,lightcyan,このたびは  ぬさもとりあへず  たむけやま,もみぢのにしき  かみのまにまに,もみぢのに,しきかみの,まにまに
25,moccasin,なにしおはば  あふさかやまの  さねかづら,ひとにしられで  くるよしもがな,ひとにしら,れでくるよ,しもがな
26,honeydew,をぐらやま  みねのもみぢば  こころあらば,いまひとたびの  みゆきまたなむ,いまひとた,びのみゆき,またなむ
27,moccasin,みかのはら  わきてながるる  いづみがは,いつみきとてか  こひしかるらむ,いつみきと,てかこひし,かるらむ
28,mistyrose,やまざとは  ふゆぞさびしさ  まさりける,ひとめもくさも  かれぬとおもへば,ひとめもく,さもかれぬ,とおもへば
29,honeydew,こころあてに  をらばやをらむ  はつしもの,おきまどはせる  しらぎくのはな,おきまどは,せるしらぎ,くのはな
30,lightcyan,ありあけの  つれなくみえし  わかれより,あかつきばかり  うきものはなし,あかつきば,かりうきも,のはなし
31,lightcyan,あさぼらけ  ありあけのつきと  みるまでに,よしののさとに  ふれるしらゆき,よしののさ,とにふれる,しらゆき
32,lightyellow,やまがはに  かぜのかけたる  しがらみは,ながれもあへぬ  もみぢなりけり,ながれもあ,へぬもみぢ,なりけり
33,lightyellow,ひさかたの  ひかりのどけき  はるのひに,しづごころなく  はなのちるらむ,しづごころ,なくはなの,ちるらむ
34,mistyrose,たれをかも  しるひとにせむ  たかさごの,まつもむかしの  ともならなくに,まつもむか,しのともな,らなくに
35,honeydew,ひとはいさ  こころもしらず  ふるさとは,はなぞむかしの  かににほひける,はなぞむか,しのかにに,ほひける
36,honeydew,なつのよは  まだよひながら  あけぬるを,くものいづこに  つきやどるらむ,くものいづ,こにつきや,どるらむ
37,lightyellow,しらつゆに  かぜのふきしく  あきののは,つらぬきとめぬ  たまぞちりける,つらぬきと,めぬたまぞ,ちりける
38,honeydew,わすらるる  みをばおもはず  ちかひてし,ひとのいのちの  をしくもあるかな,ひとのいの,ちのをしく,もあるかな
39,lightyellow,あさぢふの  をののしのはら  しのぶれど,あまりてなどか  ひとのこひしき,あまりてな,どかひとの,こひしき
40,mistyrose,しのぶれど  いろにいでにけり  わがこひは,ものやおもふと  ひとのとふまで,ものやおも,ふとひとの,とふまで
41,honeydew,こひすてふ  わがなはまだき  たちにけり,ひとしれずこそ  おもひそめしか,ひとしれず,こそおもひ,そめしか
42,honeydew,ちぎりきな  かたみにそでを  しぼりつつ,すゑのまつやま  なみこさじとは,すゑのまつ,やまなみこ,さじとは
43,moccasin,あひみての  のちのこころに  くらぶれば,むかしはものを  おもはざりけり,むかしはも,のをおもは,ざりけり
44,moccasin,あふことの  たえてしなくは  なかなかに,ひとをもみをも  うらみざらまし,ひとをもみ,をもうらみ,ざらまし
45,moccasin,あはれとも  いふべきひとは  おもほえで,みのいたづらに  なりぬべきかな,みのいたづ,らになりぬ,べきかな
46,lightyellow,ゆらのとを  わたるふなびと  かぢをたえ,ゆくへもしらぬ  こひのみちかな,ゆくへもし,らぬこひの,みちかな
47,lightyellow,やへむぐら  しげれるやどの  さびしきに,ひとこそみえね  あきはきにけり,ひとこそみ,えねあきは,きにけり
48,mistyrose,かぜをいたみ  いはうつなみの  おのれのみ,くだけてものを  おもふころかな,くだけても,のをおもふ,ころかな
49,moccasin,みかきもり  ゑじのたくひの  よるはもえ,ひるはきえつつ  ものをこそおもへ,ひるはきえ,つつものを,こそおもへ
50,lightcyan,きみがため  をしからざりし  いのちさへ,ながくもがなと  おもひけるかな,ながくもが,なとおもひ,けるかな
51,mistyrose,かくとだに  えやはいぶきの  さしもぐさ,さしもしらじな  もゆるおもひを,さしもしら,じなもゆる,おもひを
52,moccasin,あけぬれば  くるるものとは  しりながら,なほうらめしき  あさぼらけかな,なほうらめ,しきあさぼ,らけかな
53,moccasin,なげきつつ  ひとりぬるよの  あくるまは,いかにひさしき  ものとかはしる,いかにひさ,しきものと,かはしる
54,honeydew,わすれじの  ゆくすゑまでは  かたければ,けふをかぎりの  いのちともがな,けふをかぎ,りのいのち,ともがな
55,lightyellow,たきのおとは  たえてひさしく  なりぬれど,なこそながれて  なほきこえけれ,なこそなが,れてなほき,こえけれ
56,moccasin,あらざらむ  このよのほかの  おもひでに,いまひとたびの  あふこともがな,いまひとた,びのあふこ,ともがな
57,lightcyan,めぐりあひて  みしやそれとも  わかぬまに,くもがくれにし  よはのつきかな,くもがくれ,にしよはの,つきかな
58,mistyrose,ありまやま  ゐなのささはら  かぜふけば,いでそよひとを  わすれやはする,いでそよひ,とをわすれ,やはする
59,honeydew,やすらはで  ねなましものを  さよふけて,かたぶくまでの  つきをみしかな,かたぶくま,でのつきを,みしかな
60,lightyellow,おほえやま  いくののみちの  とほければ,まだふみもみず  あまのはしだて,まだふみも,みずあまの,はしだて
61,lightcyan,いにしへの  ならのみやこの  やへざくら,けふここのへに  にほひぬるかな,けふここの,へににほひ,ぬるかな
62,lightcyan,よをこめて  とりのそらねは  はかるとも,よにあふさかの  せきはゆるさじ,よにあふさ,かのせきは,ゆるさじ
63,moccasin,いまはただ  おもひたえなむ  とばかりを,ひとづてならで  いふよしもがな,ひとづてな,らでいふよ,しもがな
64,moccasin,あさぼらけ  うぢのかはぎり  たえだえに,あらはれわたる  せぜのあじろぎ,あらはれわ,たるせぜの,あじろぎ
65,mistyrose,うらみわび  ほさぬそでだに  あるものを,こひにくちなむ  なこそをしけれ,こひにくち,なむなこそ,をしけれ
66,mistyrose,もろともに  あはれとおもへ  やまざくら,はなよりほかに  しるひともなし,はなよりほ,かにしるひ,ともなし
67,moccasin,はるのよの  ゆめばかりなる  たまくらに,かひなくたたむ  なこそをしけれ,かひなくた,たむなこそ,をしけれ
68,honeydew,こころにも  あらでうきよに  ながらへば,こひしかるべき  よはのつきかな,こひしかる,べきよはの,つきかな
69,lightcyan,あらしふく  みむろのやまの  もみぢばは,たつたのかはの  にしきなりけり,たつたのか,はのにしき,なりけり
70,lightcyan,さびしさに  やどをたちいでて  ながむれば,いづこもおなじ  あきのゆふぐれ,いづこもお,なじあきの,ゆふぐれ
71,honeydew,ゆふされば  かどたのいなば  おとづれて,あしのまろやに  あきかぜぞふく,あしのまろ,やにあきか,ぜぞふく
72,mistyrose,おとにきく  たかしのはまの  あだなみは,かけじやそでの  ぬれもこそすれ,かけじやそ,でのぬれも,こそすれ
73,mistyrose,たかさごの  をのへのさくら  さきにけり,とやまのかすみ  たたずもあらなむ,とやまのか,すみたたず,もあらなむ
74,lightcyan,うかりける  ひとをはつせの  やまおろしよ,はげしかれとは  いのらぬものを,はげしかれ,とはいのら,ぬものを
75,lightcyan,ちぎりおきし  させもがつゆを  いのちにて,あはれことしの  あきもいぬめり,あはれこと,しのあきも,いぬめり
76,lightcyan,わたのはら  こぎいでてみれば  ひさかたの,くもゐにまがふ  おきつしらなみ,くもゐにま,がふおきつ,しらなみ
77,moccasin,せをはやみ  いはにせかるる  たきがはの,われてもすゑに  あはむとぞおもふ,われてもす,ゑにあはむ,とぞおもふ
78,lightyellow,あはぢしま  かよふちどりの  なくこゑに,いくよねざめぬ  すまのせきもり,いくよねざ,めぬすまの,せきもり
79,lightyellow,あきかぜに  たなびくくもの  たえまより,もれいづるつきの  かげのさやけさ,もれいづる,つきのかげ,のさやけさ
80,mistyrose,ながからむ  こころもしらず  くろかみの,みだれてけさは  ものをこそおもへ,みだれてけ,さはものを,こそおもへ
81,lightyellow,ほととぎす  なきつるかたを  ながむれば,ただありあけの  つきぞのこれる,ただありあ,けのつきぞ,のこれる
82,lightcyan,おもひわび  さてもいのちは  あるものを,うきにたへぬは  なみだなりけり,うきにたへ,ぬはなみだ,なりけり
83,mistyrose,よのなかよ  みちこそなけれ  おもひいる,やまのおくにも  しかぞなくなる,やまのおく,にもしかぞ,なくなる
84,mistyrose,ながらへば  またこのごろや  しのばれむ,うしとみしよぞ  いまはこひしき,うしとみし,よぞいまは,こひしき
85,lightyellow,よもすがら  ものおもふころは  あけやらで,ねやのひまさへ  つれなかりけり,ねやのひま,さへつれな,かりけり
86,mistyrose,なげけとて  つきやはものを  おもはする,かこちがほなる  わがなみだかな,かこちがほ,なるわがな,みだかな
87,lightyellow,むらさめの  つゆもまだひぬ  まきのはに,きりたちのぼる  あきのゆふぐれ,きりたちの,ぼるあきの,ゆふぐれ
88,moccasin,なにはえの  あしのかりねの  ひとよゆゑ,みをつくしてや  こひわたるべき,みをつくし,てやこひわ,たるべき
89,lightyellow,たまのをよ  たえなばたえね  ながらへば,しのぶることの  よわりもぞする,しのぶるこ,とのよわり,もぞする
90,moccasin,みせばやな  をじまのあまの  そでだにも,ぬれにぞぬれし  いろはかはらず,ぬれにぞぬ,れしいろは,かはらず
91,lightcyan,きりぎりす  なくやしもよの  さむしろに,ころもかたしき  ひとりかもねむ,ころもかた,しきひとり,かもねむ
92,honeydew,わがそでは  しほひにみえぬ  おきのいしの,ひとこそしらね  かわくまもなし,ひとこそし,らねかわく,まもなし
93,honeydew,よのなかは  つねにもがもな  なぎさこぐ,あまのをぶねの  つなでかなしも,あまのをぶ,ねのつなで,かなしも
94,lightyellow,みよしのの  やまのあきかぜ  さよふけて,ふるさとさむく  ころもうつなり,ふるさとさ,むくころも,うつなり
95,moccasin,おほけなく  うきよのたみに  おほふかな,わがたつそまに  すみぞめのそで,わがたつそ,まにすみぞ,めのそで
96,lightyellow,はなさそふ  あらしのにはの  ゆきならで,ふりゆくものは  わがみなりけり,ふりゆくも,のはわがみ,なりけり
97,mistyrose,こぬひとを  まつほのうらの  ゆふなぎに,やくやもしほの  みもこがれつつ,やくやもし,ほのみもこ,がれつつ
98,moccasin,かぜそよぐ  ならのをがはの  ゆふぐれは,みそぎぞなつの  しるしなりける,みそぎぞな,つのしるし,なりける
99,moccasin,ひともをし  ひともうらめし  あぢきなく,よをおもふゆゑに  ものおもふみは,よをおもふ,ゆゑにもの,おもふみは
100,lightcyan,ももしきや  ふるきのきばの  しのぶにも,なほあまりある  むかしなりけり,なほあまり,あるむかし,なりけり
